,T,P,Lags Used,NumberObservationsUsed,stockName
0,-2.1644360150888624,0.21940531391047546,4,5803,601995.XSHG
1,-0.46567918014988496,0.898541762271822,1,5806,600893.XSHG
2,-1.6064025904111678,0.4803765231581283,3,5804,601336.XSHG
3,-0.9145939302960073,0.7831284433875092,3,5804,600031.XSHG
4,-1.5045504596487984,0.5312591025521958,4,5803,600036.XSHG
5,-0.07339057802773384,0.9520252789259254,3,5804,600837.XSHG
6,-1.0088584514809698,0.7500196879367488,1,5806,601066.XSHG
7,0.4610763180148566,0.9836407738673905,10,5797,601633.XSHG
8,-0.19808697984426601,0.9387492605039307,2,5805,600436.XSHG
9,-0.038197609618653,0.9552568463961643,5,5802,600570.XSHG
10,-1.409872722374229,0.5775339661741385,0,5807,601628.XSHG
11,-1.4419750104421982,0.5619956809264405,5,5802,600000.XSHG
12,-0.20231417615354572,0.9382452110522654,0,5807,600276.XSHG
13,-0.4174063360981326,0.9071517261651112,5,5802,603288.XSHG
14,-0.851121097229316,0.8036427320963175,3,5804,600050.XSHG
15,-1.413722644947642,0.5756799162939484,0,5807,601688.XSHG
16,0.127195826160865,0.9678695727624779,2,5805,600588.XSHG
17,-0.6813195755924696,0.8515290375234092,1,5806,601601.XSHG
18,-0.9565365191600695,0.7687848573025575,3,5804,601138.XSHG
19,-0.6305441974277439,0.8639298638068482,4,5803,600104.XSHG
20,-1.4280407225451868,0.5687616881757047,0,5807,600309.XSHG
